Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
,,,,,,,,,Dallas McPherson pinch hits for Alfredo Amezaga (2B) batting 9th,Dallas McPherson pinch hits for Alfredo Amezaga (2B) batting 9th,Dallas McPherson pinch hits for Alfredo Amezaga (2B) batting 9th
b5,1-8,0,"['', '', '']",8(2-2) .BCSFFFBS,O,ANA,D. McPherson,C. Schilling,1%,98%,Strikeout Swinging
b5,1-8,1,"['', '', '']",3(0-2) CCX,O,ANA,C. Figgins,C. Schilling,0%,98%,Flyball: RF
b5,1-8,2,"['', '', '']",4(1-2) CFBX,,ANA,D. Erstad,C. Schilling,-0%,98%,Single to LF (Ground Ball)
b5,1-8,2,"['Erstad', '', '']",4(0-2) CFFS,O,ANA,V. Guerrero,C. Schilling,1%,98%,Strikeout Swinging
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Red Sox 8 Angels 1.,0 runs 1 hit 0 errors 1 LOB. Red Sox 8 Angels 1.,0 runs 1 hit 0 errors 1 LOB. Red Sox 8 Angels 1.
Top of the 6th Red Sox Batting Ahead 8-1 Angels' Kevin Gregg facing 9-1-2,Top of the 6th Red Sox Batting Ahead 8-1 Angels' Kevin Gregg facing 9-1-2,Top of the 6th Red Sox Batting Ahead 8-1 Angels' Kevin Gregg facing 9-1-2,,Top of the 6th Red Sox Batting Ahead 8-1 Angels' Kevin Gregg facing 9-1-2,Top of the 6th Red Sox Batting Ahead 8-1 Angels' Kevin Gregg facing 9-1-2,Top of the 6th Red Sox Batting Ahead 8-1 Angels' Kevin Gregg facing 9-1-2,Top of the 6th Red Sox Batting Ahead 8-1 Angels' Kevin Gregg facing 9-1-2,Top of the 6th Red Sox Batting Ahead 8-1 Angels' Kevin Gregg facing 9-1-2,Top of the 6th Red Sox Batting Ahead 8-1 Angels' Kevin Gregg facing 9-1-2,Top of the 6th Red Sox Batting Ahead 8-1 Angels' Kevin Gregg facing 9-1-2,Top of the 6th Red Sox Batting Ahead 8-1 Angels' Kevin Gregg facing 9-1-2
,,,,,,,,,Kevin Gregg replaces Scot Shields pitchingChone Figgins moves from 3B to 2BDallas McPherson moves from PH to 3B,Kevin Gregg replaces Scot Shields pitchingChone Figgins moves from 3B to 2BDallas McPherson moves from PH to 3B,Kevin Gregg replaces Scot Shields pitchingChone Figgins moves from 3B to 2BDallas McPherson moves from PH to 3B
t6,8-1,0,"['', '', '']",4(1-2) ...CBCX,O,BOS,G. Kapler,K. Gregg,-0%,98%,Lineout: 3B
t6,8-1,1,"['', '', '']",2(1-0) BX,,BOS,J. Damon,K. Gregg,0%,98%,Double to RF (Line Drive)
