Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
,,,,,,,,,,,
Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3
t4,0-2,2,"['', '', '']",3(1-1) BCX,O,STL,S. Rolen,J. Lima,1%,79%,Flyball: CF
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Cardinals 0 Dodgers 2.,0 runs 0 hits 0 errors 0 LOB. Cardinals 0 Dodgers 2.,0 runs 0 hits 0 errors 0 LOB. Cardinals 0 Dodgers 2.
Bottom of the 4th Dodgers Batting Ahead 2-0 Cardinals' Matt Morris facing 5-6-7,Bottom of the 4th Dodgers Batting Ahead 2-0 Cardinals' Matt Morris facing 5-6-7,Bottom of the 4th Dodgers Batting Ahead 2-0 Cardinals' Matt Morris facing 5-6-7,,Bottom of the 4th Dodgers Batting Ahead 2-0 Cardinals' Matt Morris facing 5-6-7,Bottom of the 4th Dodgers Batting Ahead 2-0 Cardinals' Matt Morris facing 5-6-7,Bottom of the 4th Dodgers Batting Ahead 2-0 Cardinals' Matt Morris facing 5-6-7,Bottom of the 4th Dodgers Batting Ahead 2-0 Cardinals' Matt Morris facing 5-6-7,Bottom of the 4th Dodgers Batting Ahead 2-0 Cardinals' Matt Morris facing 5-6-7,Bottom of the 4th Dodgers Batting Ahead 2-0 Cardinals' Matt Morris facing 5-6-7,Bottom of the 4th Dodgers Batting Ahead 2-0 Cardinals' Matt Morris facing 5-6-7,Bottom of the 4th Dodgers Batting Ahead 2-0 Cardinals' Matt Morris facing 5-6-7
b4,2-0,0,"['', '', '']",3(2-0) BBX,R,LAD,S. Green,M. Morris,7%,87%,Home Run (Fly Ball)
b4,3-0,0,"['', '', '']",2(0-1) SX,O,LAD,M. Bradley,M. Morris,-1%,85%,Groundout: SS-1B
b4,3-0,1,"['', '', '']",2(1-0) BX,O,LAD,A. Cora,M. Morris,-1%,85%,Flyball: LF
b4,3-0,2,"['', '', '']",3(0-2) CFX,O,LAD,B. Mayne,M. Morris,-1%,84%,Groundout: 1B unassisted
,,,,,,,,,1 run 1 hit 0 errors 0 LOB. Cardinals 0 Dodgers 3.,1 run 1 hit 0 errors 0 LOB. Cardinals 0 Dodgers 3.,1 run 1 hit 0 errors 0 LOB. Cardinals 0 Dodgers 3.
Top of the 5th Cardinals Batting Behind 0-3 Dodgers' Jose Lima facing 5-6-7,Top of the 5th Cardinals Batting Behind 0-3 Dodgers' Jose Lima facing 5-6-7,Top of the 5th Cardinals Batting Behind 0-3 Dodgers' Jose Lima facing 5-6-7,,Top of the 5th Cardinals Batting Behind 0-3 Dodgers' Jose Lima facing 5-6-7,Top of the 5th Cardinals Batting Behind 0-3 Dodgers' Jose Lima facing 5-6-7,Top of the 5th Cardinals Batting Behind 0-3 Dodgers' Jose Lima facing 5-6-7,Top of the 5th Cardinals Batting Behind 0-3 Dodgers' Jose Lima facing 5-6-7,Top of the 5th Cardinals Batting Behind 0-3 Dodgers' Jose Lima facing 5-6-7,Top of the 5th Cardinals Batting Behind 0-3 Dodgers' Jose Lima facing 5-6-7,Top of the 5th Cardinals Batting Behind 0-3 Dodgers' Jose Lima facing 5-6-7,Top of the 5th Cardinals Batting Behind 0-3 Dodgers' Jose Lima facing 5-6-7
t5,0-3,0,"['', '', '']",2(0-1) CX,,STL,J. Edmonds,J. Lima,-4%,80%,Single to CF (Line Drive)
t5,0-3,0,"['Edmonds', '', '']",2(1-0) BX,O,STL,E. Renteria,J. Lima,4%,84%,Flyball: RF
t5,0-3,1,"['Edmonds', '', '']",5(2-2) FFBBX,O,STL,R. Sanders,J. Lima,3%,87%,Foul Popfly: 1B (1B Foul)
t5,0-3,2,"['Edmonds', '', '']",1(0-0) 1X,,STL,M. Matheny,J. Lima,-2%,85%,Single to CF (Ground Ball); Edmonds to 2B
t5,0-3,2,"['Matheny', 'Edmonds', '']",5(2-2) BFBFX,O,STL,M. Morris,J. Lima,4%,89%,Groundout: 3B unassisted/Forceout at 3B
,,,,,,,,,0 runs 2 hits 0 errors 2 LOB. Cardinals 0 Dodgers 3.,0 runs 2 hits 0 errors 2 LOB. Cardinals 0 Dodgers 3.,0 runs 2 hits 0 errors 2 LOB. Cardinals 0 Dodgers 3.
Bottom of the 5th Dodgers Batting Ahead 3-0 Cardinals' Matt Morris facing 9-1-2,Bottom of the 5th Dodgers Batting Ahead 3-0 Cardinals' Matt Morris facing 9-1-2,Bottom of the 5th Dodgers Batting Ahead 3-0 Cardinals' Matt Morris facing 9-1-2,,Bottom of the 5th Dodgers Batting Ahead 3-0 Cardinals' Matt Morris facing 9-1-2,Bottom of the 5th Dodgers Batting Ahead 3-0 Cardinals' Matt Morris facing 9-1-2,Bottom of the 5th Dodgers Batting Ahead 3-0 Cardinals' Matt Morris facing 9-1-2,Bottom of the 5th Dodgers Batting Ahead 3-0 Cardinals' Matt Morris facing 9-1-2,Bottom of the 5th Dodgers Batting Ahead 3-0 Cardinals' Matt Morris facing 9-1-2,Bottom of the 5th Dodgers Batting Ahead 3-0 Cardinals' Matt Morris facing 9-1-2,Bottom of the 5th Dodgers Batting Ahead 3-0 Cardinals' Matt Morris facing 9-1-2,Bottom of the 5th Dodgers Batting Ahead 3-0 Cardinals' Matt Morris facing 9-1-2
b5,3-0,0,"['', '', '']",3(0-2) CSC,O,LAD,J. Lima,M. Morris,-1%,88%,Strikeout Looking
b5,3-0,1,"['', '', '']",2(1-0) BX,O,LAD,C. Izturis,M. Morris,-1%,87%,Groundout: P-1B
b5,3-0,2,"['', '', '']",2(0-1) CX,O,LAD,J. Werth,M. Morris,-0%,87%,Flyball: RF
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Cardinals 0 Dodgers 3.,0 runs 0 hits 0 errors 0 LOB. Cardinals 0 Dodgers 3.,0 runs 0 hits 0 errors 0 LOB. Cardinals 0 Dodgers 3.
Top of the 6th Cardinals Batting Behind 0-3 Dodgers' Jose Lima facing 1-2-3,Top of the 6th Cardinals Batting Behind 0-3 Dodgers' Jose Lima facing 1-2-3,Top of the 6th Cardinals Batting Behind 0-3 Dodgers' Jose Lima facing 1-2-3,,Top of the 6th Cardinals Batting Behind 0-3 Dodgers' Jose Lima facing 1-2-3,Top of the 6th Cardinals Batting Behind 0-3 Dodgers' Jose Lima facing 1-2-3,Top of the 6th Cardinals Batting Behind 0-3 Dodgers' Jose Lima facing 1-2-3,Top of the 6th Cardinals Batting Behind 0-3 Dodgers' Jose Lima facing 1-2-3,Top of the 6th Cardinals Batting Behind 0-3 Dodgers' Jose Lima facing 1-2-3,Top of the 6th Cardinals Batting Behind 0-3 Dodgers' Jose Lima facing 1-2-3,Top of the 6th Cardinals Batting Behind 0-3 Dodgers' Jose Lima facing 1-2-3,Top of the 6th Cardinals Batting Behind 0-3 Dodgers' Jose Lima facing 1-2-3
t6,0-3,0,"['', '', '']",6(2-2) CBLBFX,O,STL,T. Womack,J. Lima,2%,89%,Flyball: LF
t6,0-3,1,"['', '', '']",6(3-2) BFBFBC,O,STL,L. Walker,J. Lima,1%,91%,Strikeout Looking
t6,0-3,2,"['', '', '']",2(1-0) BX,O,STL,A. Pujols,J. Lima,1%,92%,Popfly: SS
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Cardinals 0 Dodgers 3.,0 runs 0 hits 0 errors 0 LOB. Cardinals 0 Dodgers 3.,0 runs 0 hits 0 errors 0 LOB. Cardinals 0 Dodgers 3.
Bottom of the 6th Dodgers Batting Ahead 3-0 Cardinals' Matt Morris facing 3-4-5,Bottom of the 6th Dodgers Batting Ahead 3-0 Cardinals' Matt Morris facing 3-4-5,Bottom of the 6th Dodgers Batting Ahead 3-0 Cardinals' Matt Morris facing 3-4-5,,Bottom of the 6th Dodgers Batting Ahead 3-0 Cardinals' Matt Morris facing 3-4-5,Bottom of the 6th Dodgers Batting Ahead 3-0 Cardinals' Matt Morris facing 3-4-5,Bottom of the 6th Dodgers Batting Ahead 3-0 Cardinals' Matt Morris facing 3-4-5,Bottom of the 6th Dodgers Batting Ahead 3-0 Cardinals' Matt Morris facing 3-4-5,Bottom of the 6th Dodgers Batting Ahead 3-0 Cardinals' Matt Morris facing 3-4-5,Bottom of the 6th Dodgers Batting Ahead 3-0 Cardinals' Matt Morris facing 3-4-5,Bottom of the 6th Dodgers Batting Ahead 3-0 Cardinals' Matt Morris facing 3-4-5,Bottom of the 6th Dodgers Batting Ahead 3-0 Cardinals' Matt Morris facing 3-4-5
b6,3-0,0,"['', '', '']",5(3-1) BBBCX,O,LAD,S. Finley,M. Morris,-1%,91%,Flyball: LF
b6,3-0,1,"['', '', '']",3(1-1) BFX,O,LAD,A. Beltre,M. Morris,-1%,90%,Groundout: SS-1B
b6,3-0,2,"['', '', '']",1(0-0) X,R,LAD,S. Green,M. Morris,4%,95%,Home Run (Line Drive)
