Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3
Bottom of the 5th Twins Batting Ahead 2-1 Yankees' Javier Vazquez facing 9-1-2,Bottom of the 5th Twins Batting Ahead 2-1 Yankees' Javier Vazquez facing 9-1-2,Bottom of the 5th Twins Batting Ahead 2-1 Yankees' Javier Vazquez facing 9-1-2,,Bottom of the 5th Twins Batting Ahead 2-1 Yankees' Javier Vazquez facing 9-1-2,Bottom of the 5th Twins Batting Ahead 2-1 Yankees' Javier Vazquez facing 9-1-2,Bottom of the 5th Twins Batting Ahead 2-1 Yankees' Javier Vazquez facing 9-1-2,Bottom of the 5th Twins Batting Ahead 2-1 Yankees' Javier Vazquez facing 9-1-2,Bottom of the 5th Twins Batting Ahead 2-1 Yankees' Javier Vazquez facing 9-1-2,Bottom of the 5th Twins Batting Ahead 2-1 Yankees' Javier Vazquez facing 9-1-2,Bottom of the 5th Twins Batting Ahead 2-1 Yankees' Javier Vazquez facing 9-1-2,Bottom of the 5th Twins Batting Ahead 2-1 Yankees' Javier Vazquez facing 9-1-2
b5,2-1,0,"['', '', '']",5(3-1) BBFBX,R,MIN,H. Blanco,J. Vazquez,-10%,20%,Home Run (Fly Ball)
b5,3-1,0,"['', '', '']",4(1-2) FF*BX,O,MIN,S. Stewart,J. Vazquez,2%,22%,Groundout: 3B-1B
b5,3-1,1,"['', '', '']",5(2-2) BBSCS,O,MIN,J. Jones,J. Vazquez,1%,23%,Strikeout Swinging
b5,3-1,2,"['', '', '']",5(2-2) FBCBX,,MIN,T. Hunter,J. Vazquez,-1%,22%,Single to SS (Pop Fly)
b5,3-1,2,"['Hunter', '', '']",5(2-2) 11CPBSX,,MIN,J. Morneau,J. Vazquez,-1%,21%,Single to 2B (Ground Ball); Hunter to 2B
b5,3-1,2,"['Morneau', 'Hunter', '']",1(0-0) H,,MIN,C. Koskie,J. Vazquez,-2%,19%,Hit By Pitch; Hunter to 3B; Morneau to 2B
b5,3-1,2,"['Koskie', 'Morneau', 'Hunter']",3(0-2) CCX,RR,MIN,L. Ford,J. Vazquez,-11%,8%,Double to LF (Fly Ball); Hunter Scores; Morneau Scores; Koskie to 3B
b5,5-1,2,"['', 'Ford', 'Koskie']",5(2-2) CBBFC,O,MIN,C. Guzman,J. Vazquez,2%,9%,Strikeout Looking
,,,,,,,,,3 runs 4 hits 0 errors 2 LOB. Yankees 1 Twins 5.,3 runs 4 hits 0 errors 2 LOB. Yankees 1 Twins 5.,3 runs 4 hits 0 errors 2 LOB. Yankees 1 Twins 5.
Top of the 6th Yankees Batting Behind 1-5 Twins' Grant Balfour facing 6-7-8,Top of the 6th Yankees Batting Behind 1-5 Twins' Grant Balfour facing 6-7-8,Top of the 6th Yankees Batting Behind 1-5 Twins' Grant Balfour facing 6-7-8,,Top of the 6th Yankees Batting Behind 1-5 Twins' Grant Balfour facing 6-7-8,Top of the 6th Yankees Batting Behind 1-5 Twins' Grant Balfour facing 6-7-8,Top of the 6th Yankees Batting Behind 1-5 Twins' Grant Balfour facing 6-7-8,Top of the 6th Yankees Batting Behind 1-5 Twins' Grant Balfour facing 6-7-8,Top of the 6th Yankees Batting Behind 1-5 Twins' Grant Balfour facing 6-7-8,Top of the 6th Yankees Batting Behind 1-5 Twins' Grant Balfour facing 6-7-8,Top of the 6th Yankees Batting Behind 1-5 Twins' Grant Balfour facing 6-7-8,Top of the 6th Yankees Batting Behind 1-5 Twins' Grant Balfour facing 6-7-8
,,,,,,,,,Grant Balfour replaces Johan Santana pitching,Grant Balfour replaces Johan Santana pitching,Grant Balfour replaces Johan Santana pitching
t6,1-5,0,"['', '', '']",1(0-0) .X,O,NYY,J. Posada,G. Balfour,-2%,8%,Groundout: SS-1B
t6,1-5,1,"['', '', '']",7(3-2) BFFBBFX,O,NYY,R. Sierra,G. Balfour,-1%,6%,Groundout: 2B-1B
t6,1-5,2,"['', '', '']",7(2-2) CFBBFFX,O,NYY,J. Olerud,G. Balfour,-1%,6%,Flyball: CF
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Yankees 1 Twins 5.,0 runs 0 hits 0 errors 0 LOB. Yankees 1 Twins 5.,0 runs 0 hits 0 errors 0 LOB. Yankees 1 Twins 5.
