Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
t6,1-2,0,---,,,CHC,M. Flack,C. Mays,-6%,63%,Walk
t6,1-2,0,1--,,O,CHC,C. Hollocher,C. Mays,6%,68%,Groundout: 1B-SS/Forceout at 2B
t6,1-2,1,1--,,O,CHC,L. Mann,C. Mays,4%,73%,Groundout: P-2B/Forceout at 2B
t6,1-2,2,1--,,O,CHC,D. Paskert,C. Mays,4%,76%,Mann Caught Stealing 2B (C-2B)
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Cubs 1 Red Sox 2.,0 runs 0 hits 0 errors 0 LOB. Cubs 1 Red Sox 2.,0 runs 0 hits 0 errors 0 LOB. Cubs 1 Red Sox 2.
Bottom of the 6th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 7-8-9,Bottom of the 6th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 7-8-9,Bottom of the 6th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 7-8-9,Bottom of the 6th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 7-8-9,Bottom of the 6th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 7-8-9,Bottom of the 6th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 7-8-9,Bottom of the 6th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 7-8-9,Bottom of the 6th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 7-8-9,Bottom of the 6th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 7-8-9,Bottom of the 6th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 7-8-9,Bottom of the 6th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 7-8-9,Bottom of the 6th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 7-8-9
b6,2-1,0,---,,O,BOS,F. Thomas,L. Tyler,-2%,75%,Flyball: CF (Short CF)
b6,2-1,1,---,,,BOS,W. Schang,L. Tyler,2%,77%,Walk
b6,2-1,1,1--,,O,BOS,C. Mays,L. Tyler,-2%,74%,Flyball: CF
b6,2-1,2,1--,,O,BOS,H. Hooper,L. Tyler,-2%,73%,Schang Caught Stealing 2B (C-2B)
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Cubs 1 Red Sox 2.,0 runs 0 hits 0 errors 0 LOB. Cubs 1 Red Sox 2.,0 runs 0 hits 0 errors 0 LOB. Cubs 1 Red Sox 2.
