Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
t7,3-4,0,---,,,KCR,G. Brett,D. Murray,7%,37%,Single to P
t7,3-4,0,1--,,OO,KCR,H. McRae,D. Murray,-14%,23%,Ground Ball Double Play: SS-2B-1B
t7,3-4,2,---,,O,KCR,A. Otis,D. Murray,-2%,21%,Strikeout
,,,,,,,,,0 runs 1 hit 0 errors 0 LOB. Royals 3 Yankees 4.,0 runs 1 hit 0 errors 0 LOB. Royals 3 Yankees 4.,0 runs 1 hit 0 errors 0 LOB. Royals 3 Yankees 4.
Bottom of the 7th Yankees Batting Ahead 4-3 Royals' Mike Armstrong facing 7-8-9,Bottom of the 7th Yankees Batting Ahead 4-3 Royals' Mike Armstrong facing 7-8-9,Bottom of the 7th Yankees Batting Ahead 4-3 Royals' Mike Armstrong facing 7-8-9,Bottom of the 7th Yankees Batting Ahead 4-3 Royals' Mike Armstrong facing 7-8-9,Bottom of the 7th Yankees Batting Ahead 4-3 Royals' Mike Armstrong facing 7-8-9,Bottom of the 7th Yankees Batting Ahead 4-3 Royals' Mike Armstrong facing 7-8-9,Bottom of the 7th Yankees Batting Ahead 4-3 Royals' Mike Armstrong facing 7-8-9,Bottom of the 7th Yankees Batting Ahead 4-3 Royals' Mike Armstrong facing 7-8-9,Bottom of the 7th Yankees Batting Ahead 4-3 Royals' Mike Armstrong facing 7-8-9,Bottom of the 7th Yankees Batting Ahead 4-3 Royals' Mike Armstrong facing 7-8-9,Bottom of the 7th Yankees Batting Ahead 4-3 Royals' Mike Armstrong facing 7-8-9,Bottom of the 7th Yankees Batting Ahead 4-3 Royals' Mike Armstrong facing 7-8-9
,,,,,,,,,Mike Armstrong replaces Buddy Black pitchingDon Mattingly pinch hits for Steve Balboni (1B) batting 7th,Mike Armstrong replaces Buddy Black pitchingDon Mattingly pinch hits for Steve Balboni (1B) batting 7th,Mike Armstrong replaces Buddy Black pitchingDon Mattingly pinch hits for Steve Balboni (1B) batting 7th
b7,4-3,0,---,,O,NYY,D. Mattingly,M. Armstrong,2%,22%,Flyball: LF
b7,4-3,1,---,,O,NYY,R. Smalley,M. Armstrong,1%,24%,Flyball: CF
b7,4-3,2,---,,,NYY,R. Cerone,M. Armstrong,-1%,23%,Walk
b7,4-3,2,1--,,O,NYY,B. Campaneris,M. Armstrong,2%,25%,Flyball: RF
