Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3
Bottom of the 4th Cardinals Batting Behind 0-2 Red Sox' Pedro Martinez facing 4-5-6,Bottom of the 4th Cardinals Batting Behind 0-2 Red Sox' Pedro Martinez facing 4-5-6,Bottom of the 4th Cardinals Batting Behind 0-2 Red Sox' Pedro Martinez facing 4-5-6,Bottom of the 4th Cardinals Batting Behind 0-2 Red Sox' Pedro Martinez facing 4-5-6,Bottom of the 4th Cardinals Batting Behind 0-2 Red Sox' Pedro Martinez facing 4-5-6,Bottom of the 4th Cardinals Batting Behind 0-2 Red Sox' Pedro Martinez facing 4-5-6,Bottom of the 4th Cardinals Batting Behind 0-2 Red Sox' Pedro Martinez facing 4-5-6,Bottom of the 4th Cardinals Batting Behind 0-2 Red Sox' Pedro Martinez facing 4-5-6,Bottom of the 4th Cardinals Batting Behind 0-2 Red Sox' Pedro Martinez facing 4-5-6,Bottom of the 4th Cardinals Batting Behind 0-2 Red Sox' Pedro Martinez facing 4-5-6,Bottom of the 4th Cardinals Batting Behind 0-2 Red Sox' Pedro Martinez facing 4-5-6,Bottom of the 4th Cardinals Batting Behind 0-2 Red Sox' Pedro Martinez facing 4-5-6
b4,0-2,0,---,3(0-2) CSX,O,STL,S. Rolen,P. Martinez,3%,72%,Groundout: 3B-1B
b4,0-2,1,---,2(0-1) FX,O,STL,J. Edmonds,P. Martinez,2%,74%,Flyball: CF
b4,0-2,2,---,5(2-2) CBBSS,O,STL,R. Sanders,P. Martinez,1%,75%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 2 Cardinals 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 2 Cardinals 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 2 Cardinals 0.
Top of the 5th Red Sox Batting Ahead 2-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 5th Red Sox Batting Ahead 2-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 5th Red Sox Batting Ahead 2-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 5th Red Sox Batting Ahead 2-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 5th Red Sox Batting Ahead 2-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 5th Red Sox Batting Ahead 2-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 5th Red Sox Batting Ahead 2-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 5th Red Sox Batting Ahead 2-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 5th Red Sox Batting Ahead 2-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 5th Red Sox Batting Ahead 2-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 5th Red Sox Batting Ahead 2-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 5th Red Sox Batting Ahead 2-0 Cardinals' Jeff Suppan facing 1-2-3
t5,2-0,0,---,6(3-2) BCBBFX,,BOS,J. Damon,J. Suppan,5%,80%,Double to RF (Fly Ball)
t5,2-0,0,-2-,3(1-1) F*BX,,BOS,O. Cabrera,J. Suppan,5%,85%,Single to RF (Line Drive); Damon to 3B
t5,2-0,0,1-3,4(1-2) F1FBX,R,BOS,M. Ramirez,J. Suppan,4%,88%,Single to LF (Ground Ball); Damon Scores; Cabrera to 2B
t5,3-0,0,12-,2(1-0) *BX,O,BOS,D. Ortiz,J. Suppan,-3%,85%,Flyball: CF
t5,3-0,1,12-,2(1-0) BX,O,BOS,J. Varitek,J. Suppan,-2%,84%,Groundout: 1B-SS/Forceout at 2B; Cabrera to 3B
t5,3-0,2,1-3,2(0-1) FX,R,BOS,B. Mueller,J. Suppan,6%,89%,Single to RF (Ground Ball); Cabrera Scores; Varitek to 2B
,,,,,,,,,Alberto Reyes replaces Jeff Suppan pitching and batting 9th,Alberto Reyes replaces Jeff Suppan pitching and batting 9th,Alberto Reyes replaces Jeff Suppan pitching and batting 9th
t5,4-0,2,12-,1(0-0) .X,O,BOS,T. Nixon,A. Reyes,-2%,88%,Flyball: LF
,,,,,,,,,2 runs 4 hits 0 errors 2 LOB. Red Sox 4 Cardinals 0.,2 runs 4 hits 0 errors 2 LOB. Red Sox 4 Cardinals 0.,2 runs 4 hits 0 errors 2 LOB. Red Sox 4 Cardinals 0.
Bottom of the 5th Cardinals Batting Behind 0-4 Red Sox' Pedro Martinez facing 7-8-9,Bottom of the 5th Cardinals Batting Behind 0-4 Red Sox' Pedro Martinez facing 7-8-9,Bottom of the 5th Cardinals Batting Behind 0-4 Red Sox' Pedro Martinez facing 7-8-9,Bottom of the 5th Cardinals Batting Behind 0-4 Red Sox' Pedro Martinez facing 7-8-9,Bottom of the 5th Cardinals Batting Behind 0-4 Red Sox' Pedro Martinez facing 7-8-9,Bottom of the 5th Cardinals Batting Behind 0-4 Red Sox' Pedro Martinez facing 7-8-9,Bottom of the 5th Cardinals Batting Behind 0-4 Red Sox' Pedro Martinez facing 7-8-9,Bottom of the 5th Cardinals Batting Behind 0-4 Red Sox' Pedro Martinez facing 7-8-9,Bottom of the 5th Cardinals Batting Behind 0-4 Red Sox' Pedro Martinez facing 7-8-9,Bottom of the 5th Cardinals Batting Behind 0-4 Red Sox' Pedro Martinez facing 7-8-9,Bottom of the 5th Cardinals Batting Behind 0-4 Red Sox' Pedro Martinez facing 7-8-9,Bottom of the 5th Cardinals Batting Behind 0-4 Red Sox' Pedro Martinez facing 7-8-9
b5,0-4,0,---,7(2-2) CBCBFFS,O,STL,T. Womack,P. Martinez,2%,90%,Strikeout Swinging
b5,0-4,1,---,1(0-0) X,O,STL,M. Matheny,P. Martinez,1%,91%,Popfly: SS
,,,,,,,,,Marlon Anderson pinch hits for Alberto Reyes (P) batting 9th,Marlon Anderson pinch hits for Alberto Reyes (P) batting 9th,Marlon Anderson pinch hits for Alberto Reyes (P) batting 9th
b5,0-4,2,---,2(1-0) .BX,O,STL,M. Anderson,P. Martinez,1%,92%,Popfly: 3B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 4 Cardinals 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 4 Cardinals 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 4 Cardinals 0.
