Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Bottom of the 4th Yankees Batting Behind 0-1 Twins' Johan Santana facing 4-5-6,Bottom of the 4th Yankees Batting Behind 0-1 Twins' Johan Santana facing 4-5-6,Bottom of the 4th Yankees Batting Behind 0-1 Twins' Johan Santana facing 4-5-6,Bottom of the 4th Yankees Batting Behind 0-1 Twins' Johan Santana facing 4-5-6,Bottom of the 4th Yankees Batting Behind 0-1 Twins' Johan Santana facing 4-5-6,Bottom of the 4th Yankees Batting Behind 0-1 Twins' Johan Santana facing 4-5-6,Bottom of the 4th Yankees Batting Behind 0-1 Twins' Johan Santana facing 4-5-6,Bottom of the 4th Yankees Batting Behind 0-1 Twins' Johan Santana facing 4-5-6,Bottom of the 4th Yankees Batting Behind 0-1 Twins' Johan Santana facing 4-5-6,Bottom of the 4th Yankees Batting Behind 0-1 Twins' Johan Santana facing 4-5-6,Bottom of the 4th Yankees Batting Behind 0-1 Twins' Johan Santana facing 4-5-6,Bottom of the 4th Yankees Batting Behind 0-1 Twins' Johan Santana facing 4-5-6
b4,0-1,0,---,1(0-0) X,,NYY,B. Williams,J. Santana,-5%,52%,Single to CF (Line Drive)
b4,0-1,0,1--,2(1-0) BX,OO,NYY,J. Posada,J. Santana,10%,62%,Ground Ball Double Play: SS-2B-1B
b4,0-1,2,---,2(0-1) CX,,NYY,H. Matsui,J. Santana,-3%,59%,Double to RF (Line Drive)
b4,0-1,2,-2-,2(0-1) SX,O,NYY,R. Sierra,J. Santana,4%,63%,Groundout: SS-1B
,,,,,,,,,0 runs 2 hits 0 errors 1 LOB. Twins 1 Yankees 0.,0 runs 2 hits 0 errors 1 LOB. Twins 1 Yankees 0.,0 runs 2 hits 0 errors 1 LOB. Twins 1 Yankees 0.
Top of the 5th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 7-8-9,Top of the 5th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 7-8-9,Top of the 5th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 7-8-9,Top of the 5th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 7-8-9,Top of the 5th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 7-8-9,Top of the 5th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 7-8-9,Top of the 5th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 7-8-9,Top of the 5th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 7-8-9,Top of the 5th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 7-8-9,Top of the 5th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 7-8-9,Top of the 5th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 7-8-9,Top of the 5th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 7-8-9
t5,1-0,0,---,3(0-2) SSS,O,MIN,C. Guzman,M. Mussina,-3%,61%,Strikeout Swinging
t5,1-0,1,---,4(1-2) CSBC,O,MIN,M. Cuddyer,M. Mussina,-2%,59%,Strikeout Looking
t5,1-0,2,---,2(1-0) BX,O,MIN,H. Blanco,M. Mussina,-1%,58%,Popfly: 2B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Twins 1 Yankees 0.,0 runs 0 hits 0 errors 0 LOB. Twins 1 Yankees 0.,0 runs 0 hits 0 errors 0 LOB. Twins 1 Yankees 0.
Bottom of the 5th Yankees Batting Behind 0-1 Twins' Johan Santana facing 8-9-1,Bottom of the 5th Yankees Batting Behind 0-1 Twins' Johan Santana facing 8-9-1,Bottom of the 5th Yankees Batting Behind 0-1 Twins' Johan Santana facing 8-9-1,Bottom of the 5th Yankees Batting Behind 0-1 Twins' Johan Santana facing 8-9-1,Bottom of the 5th Yankees Batting Behind 0-1 Twins' Johan Santana facing 8-9-1,Bottom of the 5th Yankees Batting Behind 0-1 Twins' Johan Santana facing 8-9-1,Bottom of the 5th Yankees Batting Behind 0-1 Twins' Johan Santana facing 8-9-1,Bottom of the 5th Yankees Batting Behind 0-1 Twins' Johan Santana facing 8-9-1,Bottom of the 5th Yankees Batting Behind 0-1 Twins' Johan Santana facing 8-9-1,Bottom of the 5th Yankees Batting Behind 0-1 Twins' Johan Santana facing 8-9-1,Bottom of the 5th Yankees Batting Behind 0-1 Twins' Johan Santana facing 8-9-1,Bottom of the 5th Yankees Batting Behind 0-1 Twins' Johan Santana facing 8-9-1
b5,0-1,0,---,5(3-1) CBBBH,,NYY,J. Olerud,J. Santana,-5%,52%,Hit By Pitch
b5,0-1,0,1--,3(0-2) CLS,O,NYY,M. Cairo,J. Santana,5%,57%,Strikeout Swinging
b5,0-1,1,1--,3(1-1) BF1X,OO,NYY,D. Jeter,J. Santana,8%,65%,Ground Ball Double Play: SS-2B-1B
