Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 6th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 3-4-5,Top of the 6th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 3-4-5,Top of the 6th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 3-4-5,Top of the 6th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 3-4-5,Top of the 6th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 3-4-5,Top of the 6th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 3-4-5,Top of the 6th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 3-4-5,Top of the 6th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 3-4-5,Top of the 6th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 3-4-5,Top of the 6th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 3-4-5,Top of the 6th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 3-4-5,Top of the 6th Astros Batting Ahead 2-0 Braves' Mike Hampton facing 3-4-5
t6,2-0,0,---,8(3-2) BSSBFBFX,O,HOU,J. Bagwell,M. Hampton,2%,24%,Popfly: 1B
t6,2-0,1,---,2(1-0) BX,,HOU,L. Berkman,M. Hampton,-2%,22%,Single to CF (Line Drive)
t6,2-0,1,1--,1(0-0) X,O,HOU,J. Kent,M. Hampton,2%,24%,Flyball: CF
t6,2-0,2,1--,2(0-2) 1CC1,O,HOU,M. Ensberg,M. Hampton,2%,26%,Berkman Caught Stealing (PO) 2B (P-1B-SS)
,,,,,,,,,0 runs 1 hit 0 errors 0 LOB. Astros 2 Braves 0.,0 runs 1 hit 0 errors 0 LOB. Astros 2 Braves 0.,0 runs 1 hit 0 errors 0 LOB. Astros 2 Braves 0.
Bottom of the 6th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 3-4-5,Bottom of the 6th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 3-4-5,Bottom of the 6th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 3-4-5,Bottom of the 6th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 3-4-5,Bottom of the 6th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 3-4-5,Bottom of the 6th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 3-4-5,Bottom of the 6th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 3-4-5,Bottom of the 6th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 3-4-5,Bottom of the 6th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 3-4-5,Bottom of the 6th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 3-4-5,Bottom of the 6th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 3-4-5,Bottom of the 6th Braves Batting Behind 0-2 Astros' Roy Oswalt facing 3-4-5
b6,0-2,0,---,1(0-0) X,O,ATL,J. Drew,R. Oswalt,-4%,23%,Groundout: SS-1B
b6,0-2,1,---,1(0-0) X,O,ATL,C. Jones,R. Oswalt,-2%,20%,Flyball: LF
b6,0-2,2,---,4(3-0) BBBB,,ATL,J. Estrada,R. Oswalt,2%,22%,Walk
