Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 7th Red Sox Batting Tied 3-3 Angels' Francisco Rodriguez facing 9-1-2,Top of the 7th Red Sox Batting Tied 3-3 Angels' Francisco Rodriguez facing 9-1-2,Top of the 7th Red Sox Batting Tied 3-3 Angels' Francisco Rodriguez facing 9-1-2,Top of the 7th Red Sox Batting Tied 3-3 Angels' Francisco Rodriguez facing 9-1-2,Top of the 7th Red Sox Batting Tied 3-3 Angels' Francisco Rodriguez facing 9-1-2,Top of the 7th Red Sox Batting Tied 3-3 Angels' Francisco Rodriguez facing 9-1-2,Top of the 7th Red Sox Batting Tied 3-3 Angels' Francisco Rodriguez facing 9-1-2,Top of the 7th Red Sox Batting Tied 3-3 Angels' Francisco Rodriguez facing 9-1-2,Top of the 7th Red Sox Batting Tied 3-3 Angels' Francisco Rodriguez facing 9-1-2,Top of the 7th Red Sox Batting Tied 3-3 Angels' Francisco Rodriguez facing 9-1-2,Top of the 7th Red Sox Batting Tied 3-3 Angels' Francisco Rodriguez facing 9-1-2,Top of the 7th Red Sox Batting Tied 3-3 Angels' Francisco Rodriguez facing 9-1-2
,,,,,,,,,Francisco Rodriguez replaces Bartolo Colon pitching,Francisco Rodriguez replaces Bartolo Colon pitching,Francisco Rodriguez replaces Bartolo Colon pitching
t7,3-3,0,---,5(1-2) .BSFFX,,BOS,B. Mueller,F. Rodriguez,6%,56%,Single to 2B (Ground Ball)
,,,,,,,,,Dave Roberts pinch runs for Bill Mueller (3B) batting 9th,Dave Roberts pinch runs for Bill Mueller (3B) batting 9th,Dave Roberts pinch runs for Bill Mueller (3B) batting 9th
t7,3-3,0,1--,3(0-2) .11C1CX,O,BOS,J. Damon,F. Rodriguez,-6%,50%,Groundout: SS-2B/Forceout at 2B
t7,3-3,1,1--,4(2-1) 1BSB11>B,,BOS,M. Bellhorn,F. Rodriguez,3%,53%,Damon Steals 2B
t7,3-3,1,-2-,6(3-2) 1BSB11>B.FB,,BOS,M. Bellhorn,F. Rodriguez,3%,56%,Walk
t7,3-3,1,12-,4(1-2) SBCB,,BOS,M. Ramirez,F. Rodriguez,8%,64%,Wild Pitch; Damon to 3B; Bellhorn to 2B
t7,3-3,1,-23,6(3-2) SBCB.BX,RO,BOS,M. Ramirez,F. Rodriguez,2%,67%,Flyball: CF/Sacrifice Fly; Damon Scores
t7,4-3,2,-2-,4(3-0) IIII,,BOS,D. Ortiz,F. Rodriguez,1%,68%,Intentional Walk
t7,4-3,2,12-,2(0-1) CX,O,BOS,T. Nixon,F. Rodriguez,-5%,62%,Groundout: 1B unassisted
,,,,,,,,,1 run 1 hit 0 errors 2 LOB. Red Sox 4 Angels 3.,1 run 1 hit 0 errors 2 LOB. Red Sox 4 Angels 3.,1 run 1 hit 0 errors 2 LOB. Red Sox 4 Angels 3.
