Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Bottom of the 6th Yankees Batting Ahead 6-0 Red Sox' Tim Wakefield facing 9-1-2,Bottom of the 6th Yankees Batting Ahead 6-0 Red Sox' Tim Wakefield facing 9-1-2,Bottom of the 6th Yankees Batting Ahead 6-0 Red Sox' Tim Wakefield facing 9-1-2,Bottom of the 6th Yankees Batting Ahead 6-0 Red Sox' Tim Wakefield facing 9-1-2,Bottom of the 6th Yankees Batting Ahead 6-0 Red Sox' Tim Wakefield facing 9-1-2,Bottom of the 6th Yankees Batting Ahead 6-0 Red Sox' Tim Wakefield facing 9-1-2,Bottom of the 6th Yankees Batting Ahead 6-0 Red Sox' Tim Wakefield facing 9-1-2,Bottom of the 6th Yankees Batting Ahead 6-0 Red Sox' Tim Wakefield facing 9-1-2,Bottom of the 6th Yankees Batting Ahead 6-0 Red Sox' Tim Wakefield facing 9-1-2,Bottom of the 6th Yankees Batting Ahead 6-0 Red Sox' Tim Wakefield facing 9-1-2,Bottom of the 6th Yankees Batting Ahead 6-0 Red Sox' Tim Wakefield facing 9-1-2,Bottom of the 6th Yankees Batting Ahead 6-0 Red Sox' Tim Wakefield facing 9-1-2
,,,,,,,,,Tim Wakefield replaces Ramiro Mendoza pitching,Tim Wakefield replaces Ramiro Mendoza pitching,Tim Wakefield replaces Ramiro Mendoza pitching
b6,6-0,0,---,5(2-2) .CBBFX,R,NYY,K. Lofton,T. Wakefield,1%,99%,Home Run (Fly Ball)
b6,7-0,0,---,5(3-1) BBBCX,O,NYY,D. Jeter,T. Wakefield,-0%,99%,Groundout: 3B-1B
b6,7-0,1,---,3(0-2) CCS,O,NYY,A. Rodriguez,T. Wakefield,-0%,99%,Strikeout Swinging
b6,7-0,2,---,5(2-2) BBCCX,,NYY,G. Sheffield,T. Wakefield,0%,99%,Double to LF (Line Drive)
b6,7-0,2,-2-,3(1-1) BCX,R,NYY,H. Matsui,T. Wakefield,0%,100%,Single to RF (Ground Ball); Sheffield Scores
b6,8-0,2,1--,4(1-2) CBSX,O,NYY,B. Williams,T. Wakefield,-0%,99%,Flyball: LF
,,,,,,,,,2 runs 3 hits 0 errors 1 LOB. Red Sox 0 Yankees 8.,2 runs 3 hits 0 errors 1 LOB. Red Sox 0 Yankees 8.,2 runs 3 hits 0 errors 1 LOB. Red Sox 0 Yankees 8.
Top of the 7th Red Sox Batting Behind 0-8 Yankees' Mike Mussina facing 1-2-3,Top of the 7th Red Sox Batting Behind 0-8 Yankees' Mike Mussina facing 1-2-3,Top of the 7th Red Sox Batting Behind 0-8 Yankees' Mike Mussina facing 1-2-3,Top of the 7th Red Sox Batting Behind 0-8 Yankees' Mike Mussina facing 1-2-3,Top of the 7th Red Sox Batting Behind 0-8 Yankees' Mike Mussina facing 1-2-3,Top of the 7th Red Sox Batting Behind 0-8 Yankees' Mike Mussina facing 1-2-3,Top of the 7th Red Sox Batting Behind 0-8 Yankees' Mike Mussina facing 1-2-3,Top of the 7th Red Sox Batting Behind 0-8 Yankees' Mike Mussina facing 1-2-3,Top of the 7th Red Sox Batting Behind 0-8 Yankees' Mike Mussina facing 1-2-3,Top of the 7th Red Sox Batting Behind 0-8 Yankees' Mike Mussina facing 1-2-3,Top of the 7th Red Sox Batting Behind 0-8 Yankees' Mike Mussina facing 1-2-3,Top of the 7th Red Sox Batting Behind 0-8 Yankees' Mike Mussina facing 1-2-3
t7,0-8,0,---,5(2-2) CFBBT,O,BOS,J. Damon,M. Mussina,0%,100%,Strikeout Swinging
t7,0-8,1,---,3(0-2) TCX,,BOS,M. Bellhorn,M. Mussina,-0%,99%,Double to LF (Fly Ball)
t7,0-8,1,-2-,1(0-0) X,O,BOS,M. Ramirez,M. Mussina,0%,100%,Groundout: SS-1B
t7,0-8,2,-2-,3(1-1) BFX,,BOS,D. Ortiz,M. Mussina,-0%,100%,Single to RF (Line Drive); Bellhorn to 3B
t7,0-8,2,1-3,3(1-1) CBX,RR,BOS,K. Millar,M. Mussina,-1%,99%,Double to LF (Line Drive); Bellhorn Scores; Ortiz Scores
t7,2-8,2,-2-,1(0-0) C,,BOS,T. Nixon,M. Mussina,-0%,99%,Passed Ball; Millar to 3B
t7,2-8,2,--3,2(0-1) C.X,R,BOS,T. Nixon,M. Mussina,-1%,98%,Single to CF (Line Drive); Millar Scores
,,,,,,,,,Tanyon Sturtze replaces Mike Mussina pitching,Tanyon Sturtze replaces Mike Mussina pitching,Tanyon Sturtze replaces Mike Mussina pitching
t7,3-8,2,1--,3(0-2) .FSX,RR,BOS,J. Varitek,T. Sturtze,-5%,93%,Home Run; Nixon Scores
t7,5-8,2,---,4(0-2) CFFS,O,BOS,O. Cabrera,T. Sturtze,1%,94%,Strikeout Swinging
,,,,,,,,,5 runs 5 hits 0 errors 0 LOB. Red Sox 5 Yankees 8.,5 runs 5 hits 0 errors 0 LOB. Red Sox 5 Yankees 8.,5 runs 5 hits 0 errors 0 LOB. Red Sox 5 Yankees 8.
Bottom of the 7th Yankees Batting Ahead 8-5 Red Sox' Alan Embree facing 6-7-8,Bottom of the 7th Yankees Batting Ahead 8-5 Red Sox' Alan Embree facing 6-7-8,Bottom of the 7th Yankees Batting Ahead 8-5 Red Sox' Alan Embree facing 6-7-8,Bottom of the 7th Yankees Batting Ahead 8-5 Red Sox' Alan Embree facing 6-7-8,Bottom of the 7th Yankees Batting Ahead 8-5 Red Sox' Alan Embree facing 6-7-8,Bottom of the 7th Yankees Batting Ahead 8-5 Red Sox' Alan Embree facing 6-7-8,Bottom of the 7th Yankees Batting Ahead 8-5 Red Sox' Alan Embree facing 6-7-8,Bottom of the 7th Yankees Batting Ahead 8-5 Red Sox' Alan Embree facing 6-7-8,Bottom of the 7th Yankees Batting Ahead 8-5 Red Sox' Alan Embree facing 6-7-8,Bottom of the 7th Yankees Batting Ahead 8-5 Red Sox' Alan Embree facing 6-7-8,Bottom of the 7th Yankees Batting Ahead 8-5 Red Sox' Alan Embree facing 6-7-8,Bottom of the 7th Yankees Batting Ahead 8-5 Red Sox' Alan Embree facing 6-7-8
,,,,,,,,,Alan Embree replaces Tim Wakefield pitching,Alan Embree replaces Tim Wakefield pitching,Alan Embree replaces Tim Wakefield pitching
b7,8-5,0,---,7(2-2) .FBFFBFX,O,NYY,J. Posada,A. Embree,-1%,93%,Groundout: 2B-1B
b7,8-5,1,---,4(2-1) BFBX,O,NYY,J. Olerud,A. Embree,-0%,93%,Flyball: LF
b7,8-5,2,---,4(2-1) BBCX,,NYY,M. Cairo,A. Embree,0%,93%,Single to RF (Ground Ball)
b7,8-5,2,1--,3(1-1) 11BCX,O,NYY,K. Lofton,A. Embree,-1%,92%,Flyball: LF
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Red Sox 5 Yankees 8.,0 runs 1 hit 0 errors 1 LOB. Red Sox 5 Yankees 8.,0 runs 1 hit 0 errors 1 LOB. Red Sox 5 Yankees 8.
